first_name,last_name,gender,constituency_name,party_name
Keith,Gilligan,Male,Carlow-Kilkenny,Independent
Paddy,Manning,Male,Carlow-Kilkenny,Independent
Kathleen ,Funchion,Female,Carlow-Kilkenny,Sinn Féin
Jennifer,Murnane O’Connor,Female,Carlow-Kilkenny,Fianna Fáil
Ann,Phelan,Female,Carlow-Kilkenny,Labour Party
Adrienne ,Wallace,Female,Carlow-Kilkenny,People Before Profit Alliance
Bobby,Aylward ,Male,Carlow-Kilkenny,Fianna Fáil
Pat,Deering,Male,Carlow-Kilkenny,Fine Gael
David,Fitzgerald,Male,Carlow-Kilkenny,Fine Gael
Conor,Mac Liam,Male,Carlow-Kilkenny,People Before Profit Alliance
John,McGuinness,Male,Carlow-Kilkenny,Fianna Fáil
Patrick,McKee,Male,Carlow-Kilkenny,Renua
Malcolm ,Noonan,Male,Carlow-Kilkenny,Green Party
John Paul ,Phelan,Male,Carlow-Kilkenny,Fine Gael
Noel,Walsh,Male,Carlow-Kilkenny,Independent
Mike,Durkan,Male,Cavan-Monaghan,Fianna Fáil
Aoife,O'Connell,Female,Cavan-Monaghan,Direct Democracy Ireland
Emmett,Smith,Male,Cavan-Monaghan,Independent
Heather,Humphries,Female,Cavan-Monaghan,Fine Gael
Kathryn ,Reilly ,Female,Cavan-Monaghan,Sinn Féin
Niamh ,Smyth,Female,Cavan-Monaghan,Fianna Fáil
Mary ,Smyth ,Female,Cavan-Monaghan,Renua
Micheal,Callaghan,Male,Cavan-Monaghan,Green Party
Seán,Conlan,Male,Cavan-Monaghan,Independent
Mick,McDermott,Male,Cavan-Monaghan,Direct Democracy Ireland
Jimmy,Mee,Male,Cavan-Monaghan,Independent
Caoimhghín ,Ó Caoláin,Male,Cavan-Monaghan,Sinn Féin
Joe ,O’Reilly,Male,Cavan-Monaghan,Fine Gael
Brendan,Smith,Male,Cavan-Monaghan,Fianna Fáil
John ,Wilson,Male,Cavan-Monaghan,Independent
André Sibo ,Hakizimana,Male,Clare,Independent
Clare ,Colleran Molloy,Female,Clare,Fianna Fáil
Mary,Howard,Female,Clare,Fine Gael
Noeleen,Moran,Female,Clare,Sinn Féin
Ann,Norton,Female,Clare,Independent
Niamh,O'Brien,Female,Clare,Fís Nua
Pat,Breen,Male,Clare,Fine Gael
Richard ,Cahill,Male,Clare,Independent
Joe ,Carey,Male,Clare,Fine Gael
Timmy,Dooley,Male,Clare,Fianna Fáil
Michael,Harty,Male,Clare,Independent
Ian,Lynch,Male,Clare,Independent
Michael ,McDonagh,Male,Clare,Fianna Fáil
Michael ,McNamara,Male,Clare,Labour Party
Dermot ,Mulqueen,Male,Clare,Independent
Fergal ,Smith,Male,Clare,Green Party
Barbara,Ahern,Female,Cork East,Fianna Fáil
Natasha ,Harty,Female,Cork East,Green Party
Ciara,Leonardi Roche,Female,Cork East,People Before Profit Alliance
Mary,Linehan Foley,Female,Cork East,Independent
Tom,Barry,Male,Cork East,Fine Gael
Paul ,Bradford,Male,Cork East,Renua
Pat,Buckley,Male,Cork East,Sinn Féin
Paddy,Bullman,Male,Cork East,Independent
Ross,Cannon,Male,Cork East,Independent
Noel,McCarthy,Male,Cork East,Fine Gael
Kieran,McCarthy,Male,Cork East,Independent
Kevin,O'Keefe,Male,Cork East,Fianna Fáil
Sean,Sherlock,Male,Cork East,Labour Party
David ,Stanton,Male,Cork East,Fine Gael
Ger,Keohane,Male,Cork North-Central,Independent
Kathleen,Lynch,Female,Cork North-Central,Labour Party
Julie,O'Leary,Female,Cork North-Central,Fine Gael
Mick,Barry,Male,Cork North-Central,People Before Profit Alliance
Thomas,Gould,Male,Cork North-Central,Sinn Féin
Billy,Kelleher,Male,Cork North-Central,Fianna Fáil
Thomas,Kiely,Male,Cork North-Central,Independent
Oliver ,Moran,Male,Cork North-Central,Green Party
