party_name,free_college_tuition,party_stance
Sinn Féin,Support,Left
Fianna Fáil,Against,Right
Fine Gael,Neutral,Right
People Before Profit Alliance,Support,Left
Independents 4 Change,Support,Left
Green Party,Against,Left
Social Democrats,Against,Centre
Renua,Against,Centre
Direct Democracy Ireland,Neutral,Right
Fís Nua,Support,Left
The Workers' Party,Support,Left
Communist Party of Ireland,Neutral,Left
Catholic Democrats,Neutral,Right
Anti Austerity Alliance,Support,Left
Irish Democratic Party,Support,Centre
Labour Party,Support,Left
Independent,Neutral,Centre
